Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Atalaia (PR),0.651,0.736,0.649,0.707,0.8,0.854,0.531,0.66,0.644,0.787,0.361,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.24,649.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalanta (SC),0.599,0.733,0.677,0.736,0.759,0.802,0.418,0.668,0.534,0.802,0.257,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.07,781.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ataléia (MG),0.46,0.588,0.533,0.592,0.715,0.813,0.255,0.423,0.336,0.54,0.147,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.37,317.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atibaia (SP),0.675,0.765,0.756,0.786,0.804,0.851,0.506,0.67,0.556,0.72,0.42,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.14,1063.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atilio Vivacqua (ES),0.574,0.708,0.598,0.663,0.734,0.841,0.43,0.637,0.528,0.748,0.285,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.86,493.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustinópolis (TO),0.462,0.67,0.527,0.614,0.653,0.793,0.286,0.619,0.307,0.721,0.247,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.99,364.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Corrêa (PA),0.335,0.52,0.454,0.48,0.706,0.772,0.117,0.38,0.121,0.465,0.109,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.87,159.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto de Lima (MG),0.51,0.656,0.568,0.622,0.72,0.815,0.325,0.557,0.394,0.689,0.222,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.88,384.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Pestana (RS),0.635,0.743,0.653,0.779,0.815,0.847,0.48,0.621,0.654,0.782,0.258,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.05,1016.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Severo (RN),0.452,0.621,0.511,0.624,0.643,0.774,0.281,0.495,0.346,0.621,0.185,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.88,388.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áurea (RS),0.582,0.707,0.596,0.715,0.766,0.841,0.431,0.588,0.657,0.815,0.186,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.77,686.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelino Leal (BA),0.365,0.568,0.44,0.555,0.626,0.759,0.177,0.434,0.225,0.524,0.109,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.46,253.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auriflama (SP),0.677,0.773,0.705,0.746,0.752,0.84,0.584,0.738,0.715,0.856,0.39,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.72,829.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurilândia (GO),0.588,0.7,0.597,0.661,0.76,0.836,0.447,0.62,0.58,0.778,0.265,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.63,489.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora (CE),0.435,0.605,0.456,0.557,0.67,0.764,0.27,0.521,0.351,0.656,0.16,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.33,255.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora do Pará (PA),0.358,0.519,0.491,0.504,0.707,0.773,0.132,0.358,0.16,0.412,0.09,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.67,184.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora do Tocantins (TO),0.486,0.677,0.497,0.676,0.678,0.804,0.341,0.57,0.421,0.677,0.223,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.97,535.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora (SC),0.601,0.733,0.676,0.748,0.824,0.87,0.39,0.606,0.549,0.789,0.197,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.69,841.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autazes (AM),0.42,0.577,0.494,0.539,0.699,0.799,0.214,0.446,0.24,0.5,0.169,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.53,228.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avaí (SP),0.608,0.714,0.637,0.674,0.784,0.83,0.449,0.65,0.571,0.743,0.278,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.48,531.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avanhandava (SP),0.608,0.705,0.637,0.688,0.776,0.817,0.454,0.623,0.565,0.684,0.293,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.21,579.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avaré (SP),0.683,0.767,0.727,0.751,0.813,0.866,0.538,0.695,0.62,0.759,0.405,0.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.8,854.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveiro (PA),0.368,0.541,0.412,0.47,0.709,0.748,0.17,0.45,0.199,0.509,0.124,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.81,148.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avelino Lopes (PI),0.367,0.554,0.413,0.532,0.61,0.722,0.196,0.442,0.263,0.544,0.109,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.55,218.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avelinópolis (GO),0.559,0.66,0.62,0.682,0.764,0.828,0.368,0.508,0.423,0.64,0.278,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.97,556.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axixá do Tocantins (TO),0.432,0.627,0.471,0.595,0.607,0.733,0.282,0.566,0.312,0.661,0.231,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7,324.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axixá (MA),0.464,0.641,0.433,0.535,0.637,0.776,0.362,0.634,0.433,0.719,0.253,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.31,223.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babaçulândia (TO),0.397,0.642,0.453,0.589,0.659,0.792,0.21,0.568,0.225,0.663,0.182,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.07,313.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacabal (MA),0.481,0.651,0.519,0.619,0.639,0.753,0.336,0.591,0.372,0.675,0.274,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.74,375.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacabeira (MA),0.433,0.629,0.434,0.558,0.636,0.768,0.295,0.58,0.387,0.663,0.171,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.08,257.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacuri (MA),0.403,0.578,0.464,0.54,0.619,0.737,0.228,0.484,0.297,0.593,0.135,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.91,230.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacurituba (MA),0.369,0.537,0.417,0.474,0.561,0.681,0.215,0.479,0.294,0.615,0.115,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,152.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bady Bassitt (SP),0.688,0.746,0.7,0.737,0.77,0.805,0.603,0.701,0.695,0.771,0.453,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.63,783.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baependi (MG),0.581,0.681,0.625,0.664,0.785,0.833,0.399,0.57,0.504,0.673,0.25,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.41,497.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagé (RS),0.659,0.74,0.692,0.739,0.79,0.848,0.524,0.647,0.549,0.68,0.478,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.18,795.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagre (PA),0.33,0.471,0.424,0.481,0.669,0.777,0.127,0.28,0.151,0.332,0.09,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.14,159.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baía da Traição (PB),0.413,0.581,0.447,0.541,0.607,0.731,0.259,0.495,0.322,0.583,0.168,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.02,231.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baía Formosa (RN),0.46,0.609,0.494,0.59,0.696,0.718,0.284,0.534,0.35,0.624,0.187,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.37,315.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baianópolis (BA),0.383,0.589,0.469,0.543,0.622,0.763,0.193,0.492,0.261,0.645,0.105,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.44,235.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baião (PA),0.459,0.578,0.483,0.538,0.706,0.77,0.283,0.467,0.305,0.511,0.244,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.04,226.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baixa Grande (BA),0.422,0.585,0.469,0.549,0.699,0.775,0.229,0.471,0.318,0.61,0.118,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.57,243.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baixa Grande do Ribeiro (PI),0.349,0.564,0.449,0.537,0.62,0.751,0.153,0.446,0.187,0.536,0.102,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.98,225.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baixio (CE),0.452,0.627,0.45,0.563,0.637,0.763,0.323,0.575,0.397,0.672,0.213,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.46,265.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baixo Guandu (ES),0.592,0.702,0.617,0.67,0.734,0.811,0.459,0.637,0.551,0.747,0.318,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.49,516.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balbinos (SP),0.639,0.669,0.649,0.69,0.769,0.809,0.522,0.537,0.741,0.773,0.259,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.58,586.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldim (MG),0.592,0.671,0.591,0.65,0.766,0.787,0.459,0.59,0.591,0.709,0.277,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.74,458.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baliza (GO),0.49,0.655,0.598,0.614,0.749,0.819,0.263,0.558,0.348,0.727,0.151,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.53,365.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Arroio do Silva (SC),0.654,0.746,0.665,0.753,0.826,0.858,0.509,0.642,0.593,0.711,0.375,0.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.54,866.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Barra do Sul (SC),0.639,0.716,0.66,0.713,0.821,0.844,0.481,0.611,0.575,0.693,0.337,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.72,676.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Camboriú (SC),0.777,0.845,0.848,0.854,0.829,0.894,0.668,0.789,0.686,0.803,0.634,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.49,1625.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Gaivota (SC),0.625,0.728,0.641,0.734,0.792,0.844,0.48,0.622,0.533,0.731,0.389,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.14,768.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Piçarras (SC),0.642,0.756,0.702,0.745,0.802,0.869,0.47,0.668,0.521,0.728,0.383,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.21,826.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balneário Pinhal (RS),0.618,0.696,0.699,0.71,0.761,0.836,0.443,0.567,0.49,0.627,0.363,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.31,662.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bálsamo (SP),0.705,0.756,0.752,0.746,0.833,0.835,0.56,0.695,0.69,0.807,0.369,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.8,832.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balsa Nova (PR),0.605,0.696,0.629,0.707,0.761,0.823,0.463,0.579,0.574,0.662,0.302,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.2,652.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balsas (MA),0.521,0.687,0.609,0.674,0.712,0.807,0.326,0.597,0.35,0.644,0.282,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.17,531.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambuí (MG),0.645,0.741,0.658,0.735,0.811,0.87,0.502,0.636,0.639,0.731,0.31,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.24,777.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banabuiú (CE),0.456,0.606,0.488,0.54,0.701,0.779,0.278,0.53,0.358,0.659,0.167,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.55,229.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bananal (SP),0.632,0.733,0.669,0.693,0.802,0.872,0.47,0.653,0.547,0.76,0.348,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.51,595.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bananeiras (PB),0.401,0.568,0.467,0.555,0.675,0.766,0.204,0.43,0.266,0.554,0.12,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.15,253.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandeira do Sul (MG),0.539,0.692,0.653,0.681,0.79,0.802,0.303,0.608,0.352,0.745,0.225,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.72,554.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandeira (MG),0.431,0.599,0.487,0.583,0.705,0.811,0.233,0.454,0.29,0.626,0.151,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.99,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandeirante (SC),0.548,0.672,0.613,0.675,0.74,0.795,0.362,0.565,0.552,0.769,0.156,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.22,534.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
